POS_RK,POS_TIERS,PLAYER NAME,TEAM,AVG_FAN PTS
1,1,SAM LAPORTA,DET,9.0
2,1,TRAVIS KELCE,KC,8.4
3,1,MARK ANDREWS,BAL,9.0
4,2,TREY MCBRIDE,ARI,5.9
5,2,GEORGE KITTLE,SF,8.6
6,2,KYLE PITTS,ATL,5.0
7,2,DALTON KINCAID,BUF,4.8
8,2,DAVID NJOKU,CLE,7.5
9,2,JAKE FERGUSON,DAL,6.2
10,2,EVAN ENGRAM,JAC,6.8
11,3,DALLAS GOEDERT,PHI,5.5
12,3,BROCK BOWERS,LV,0
13,3,DALTON SCHULTZ,HOU,6.1
14,3,PAT FREIERMUTH,PIT,3.7
15,3,TJ HOCKENSON,MIN,8.3
16,3,COLE KMET,CHI,6.4
17,3,HUNTER HENRY,NE,5.6
18,3,LUKE MUSGRAVE,GB,3.7
19,4,JUWAN JOHNSON,NO,4.7
20,4,CADE OTTON,TB,4.1
21,4,CHIGOZIEM OKONKWO,TEN,3.5
22,4,TYLER CONKLIN,NYJ,3.7
23,4,TUCKER KRAFT,GB,2.8
24,4,ISAIAH LIKELY,BAL,4.2
25,4,BEN SINNOTT,WAS,0
26,4,TAYSOM HILL,NO,6.9
27,4,NOAH FANT,SEA,2.4
28,4,MICHAEL MAYER,LV,3.2
29,4,MIKE GESICKI,CIN,2.1
30,4,DAWSON KNOX,BUF,2.7
31,4,JELANI WOODS,IND,0
32,4,JATAVION SANDERS,CAR,0
33,4,GERALD EVERETT,CHI,4.0
34,5,TYLER HIGBEE,LAR,4.1
35,5,ZACH ERTZ,WAS,3.5
36,5,JONNU SMITH,MIA,4.4
37,5,GREG DULCICH,DEN,1.3
38,6,DANIEL BELLINGER,NYG,1.5
39,6,THEO JOHNSON,NYG,0
40,6,COLBY PARKINSON,LAR,2.2
41,6,HAYDEN HURST,LAC,2.4
42,6,DONALD PARHAM,LAC,3.8
43,6,LOGAN THOMAS,SF,4.5
44,6,NOAH GRAY,KC,2.5
45,6,KYLEN GRANSON,IND,2.9
46,6,TANNER HUDSON,CIN,3.4
47,6,BREVIN JORDAN,HOU,2.6
48,6,ERICK ALL,CIN,0
49,6,JEREMY RUCKERT,NYJ,1.0
50,6,WILL DISSLY,LAC,1.4
51,6,CADE STOVER,HOU,0
52,6,JAHEIM BELL,NE,0
53,7,ADAM TRAUTMAN,DEN,2.3
54,7,JOHN MUNDT,MIN,1.4
55,7,DARNELL WASHINGTON,PIT,0.4
56,7,JOSH OLIVER,MIN,1.8
57,7,DAVIS ALLEN,LAR,1.0
58,7,TOMMY TREMBLE,CAR,2.3
59,7,WILL MALLORY,IND,1.7
60,7,AUSTIN HOOPER,NE,1.4
61,7,FOSTER MOREAU,NO,1.7
62,7,AJ BARNER,SEA,0
63,7,DURHAM SMYTHE,MIA,2.3
64,7,IRV SMITH,KC,1.3
65,7,LUKE SCHOONMAKER,DAL,1.1
66,7,COLE TURNER,WAS,1.0
67,7,JARED WILEY,KC,0
68,7,BROCK WRIGHT,DET,1.1
69,7,TIP REIMAN,ARI,0
70,7,BRENTON STRANGE,JAC,0.7
71,7,JORDAN AKINS,CLE,0.8
72,7,MO ALIE-COX,IND,2.1
73,8,JOSH WHYLE,TEN,1.4
74,8,ROBERT TONYAN,MIN,0.7
75,8,LUCAS KRULL,DEN,2.2
76,8,ELIJAH HIGGINS,ARI,2.0
77,8,HARRISON BRYANT,LV,1.5
78,8,DARREN WALLER,FA,5.1
79,8,PHARAOH BROWN,SEA,1.5
80,8,LUKE FARRELL,JAC,0.9
81,8,PEYTON HENDERSHOT,DAL,0.5
82,8,TANNER MCLACHLAN,CIN,0
83,8,CHARLIE KOLAR,BAL,1.1
84,8,JOHN BATES,WAS,0.9
85,8,DREW SAMPLE,CIN,1.7
86,8,CONNOR HEYWARD,PIT,1.0
87,8,MYCOLE PRUITT,PIT,1.0
88,8,STONE SMARTT,LAC,1.3
89,8,JIMMY GRAHAM,FA,2.1
90,8,ALBERT OKWUEGBUNAM,PHI,0.0
91,8,ANDREW OGLETREE,IND,2.2
92,8,IAN THOMAS,CAR,0.5
93,8,JACK STOLL,NYG,0.2
94,8,CHARLIE WOERNER,ATL,0.2
95,8,DALLIN HOLKER,NO,0
96,8,KO KIEFT,TB,0.4
97,8,JOE FORTSON,MIA,0
98,8,BRYCEN HOPKINS,FA,0.5
99,8,PAYNE DURHAM,TB,0.4
100,9,CJ UZOMAH,PHI,1.0
101,9,GEOFF SWAIM,FA,0.7
102,9,TEAGAN QUITORIANO,HOU,0.5
103,9,JAMES MITCHELL,DET,0.2
104,9,JOSIAH DEGUARA,JAC,0.4
105,9,ZACK KUNTZ,NYJ,0.0
106,9,DANIEL MARX,FA,0
107,9,QUINTIN MORRIS,BUF,0.6
108,9,TUCKER FISK,FA,0.1
109,9,ROSS DWELLEY,ATL,0.1
110,9,JULIAN HILL,MIA,0.2
111,9,JACK WESTOVER,SEA,0
112,9,DEVIN CULP,TB,0
113,9,STEPHEN SULLIVAN,CAR,1.1
114,9,NICK GUGGEMOS,FA,0
115,9,KENNY YEBOAH,NYJ,0.6
