POS_RK,POS_TIERS,PLAYER NAME,TEAM,FAN PTS
1,1,CEEDEE LAMB,DAL,268.2
2,1,TYREEK HILL,MIA,257.4
3,1,JAMARR CHASE,CIN,162.7
4,1,JUSTIN JEFFERSON,MIN,134.2
5,1,AMON-RA ST BROWN,DET,211.9
6,2,AJ BROWN,PHI,183.6
7,2,GARRETT WILSON,NYJ,118.2
8,2,PUKA NACUA,LAR,193.5
9,2,DEEBO SAMUEL,SF,183.7
10,3,MIKE EVANS,TB,203.5
11,3,MARVIN HARRISON,ARI,0
12,3,BRANDON AIYUK,SF,174.2
13,3,CHRIS OLAVE,NO,144.3
14,3,NICO COLLINS,HOU,180.4
15,3,DRAKE LONDON,ATL,105.4
16,3,DAVANTE ADAMS,LV,162.4
17,3,DK METCALF,SEA,159.4
18,3,DJ MOORE,CHI,190.5
19,3,JAYLEN WADDLE,MIA,126.6
20,4,AMARI COOPER,CLE,155
21,4,DEVONTA SMITH,PHI,146.6
22,4,COOPER KUPP,LAR,105.4
23,4,GEORGE PICKENS,PIT,145.8
24,4,TEE HIGGINS,CIN,95.6
25,4,MALIK NABERS,NYG,0
26,4,MICHAEL PITTMAN,IND,141.2
27,4,NATHANIEL DELL,HOU,118
28,4,STEFON DIGGS,HOU,166.8
29,4,ZAY FLOWERS,BAL,129.4
30,5,CHRISTIAN KIRK,JAC,93.3
31,5,TERRY MCLAURIN,WAS,124.2
32,5,CALVIN RIDLEY,TEN,153.9
33,5,JAYDEN REED,GB,153.2
34,5,KEENAN ALLEN,CHI,170.9
35,5,DIONTAE JOHNSON,CAR,101.7
36,5,CHRIS GODWIN,TB,126.2
37,5,RASHEE RICE,KC,133.5
38,5,MARQUISE BROWN,KC,83.7
39,5,CHRISTIAN WATSON,GB,73.3
40,5,DEANDRE HOPKINS,TEN,148.6
41,5,XAVIER WORTHY,KC,0
42,5,JORDAN ADDISON,MIN,151.3
43,6,COURTLAND SUTTON,DEN,131.2
44,6,ROME ODUNZE,CHI,0
45,6,LADD MCCONKEY,LAC,0
46,6,JAMESON WILLIAMS,DET,56.3
47,6,JAXON SMITH-NJIGBA,SEA,86.8
48,6,BRIAN THOMAS,JAC,0
49,6,TYLER LOCKETT,SEA,123.4
50,6,KEON COLEMAN,BUF,0
51,6,RASHID SHAHEED,NO,109.6
52,6,JAKOBI MEYERS,LV,147.6
53,6,CURTIS SAMUEL,BUF,95.2
54,6,MIKE WILLIAMS,NYJ,31.2
