PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_PASS_YDS,AVG_PASS_TDS,AVG_REC,AVG_REC_YDS,AVG_REC_TDS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS
1,1,CHRISTIAN MCCAFFREY,SF,24.5,0.0,0.0,4.2,35.3,0.4,17.0,91.2,0.9
2,1,CEEDEE LAMB,DAL,23.7,0.0,0.0,7.9,102.9,0.7,0.8,6.6,0.1
3,1,TYREEK HILL,MIA,23.5,0.0,0.0,7.4,112.4,0.8,0.4,0.9,0.0
4,1,JAMARR CHASE,CIN,16.4,0.0,0.0,6.3,76.0,0.4,0.2,-0.4,0.0
5,1,AMON-RA ST BROWN,DET,20.7,0.0,0.0,7.4,94.7,0.6,0.3,1.5,0.0
6,1,BREECE HALL,NYJ,17.1,0.0,0.0,4.5,34.8,0.2,13.1,58.5,0.3
7,1,BIJAN ROBINSON,ATL,14.5,0.0,0.0,3.4,28.6,0.2,12.6,57.4,0.2
8,1,JUSTIN JEFFERSON,MIN,20.2,0.0,0.0,6.8,107.4,0.5,0.1,-1.2,0.0
9,2,AJ BROWN,PHI,17.0,0.0,0.0,6.2,85.6,0.4,0.0,0.0,0.0
10,2,GARRETT WILSON,NYJ,12.5,0.0,0.0,5.6,61.3,0.2,0.2,0.0,0.0
11,2,JAHMYR GIBBS,DET,16.1,0.0,0.0,3.5,21.1,0.1,12.1,63.0,0.7
12,2,PUKA NACUA,LAR,17.6,0.0,0.0,6.2,87.4,0.4,0.7,5.2,0.0
13,2,JONATHAN TAYLOR,IND,15.6,0.0,0.0,1.9,15.3,0.1,16.9,74.1,0.7
14,2,MARVIN HARRISON,ARI,0,0,0,0,0,0,0,0,0
15,2,SAQUON BARKLEY,PHI,15.9,0.0,0.0,2.9,20.0,0.3,17.6,68.7,0.4
16,2,DAVANTE ADAMS,LV,15.6,0.0,0.0,6.1,67.3,0.5,0.0,0.0,0.0
17,3,DRAKE LONDON,ATL,10.9,0.0,0.0,4.3,56.6,0.1,0.0,0.0,0.0
18,3,CHRIS OLAVE,NO,14.5,0.0,0.0,5.4,70.2,0.3,0.0,0.0,0.0
