POS_RK,POS_TIERS,PLAYER NAME,TEAM,AVG_FAN PTS
1,1,CEEDEE LAMB,DAL,15.8
2,1,TYREEK HILL,MIA,16.1
3,1,JAMARR CHASE,CIN,10.2
4,1,JUSTIN JEFFERSON,MIN,13.4
5,1,AMON-RA ST BROWN,DET,13.2
6,2,AJ BROWN,PHI,10.8
7,2,GARRETT WILSON,NYJ,7.0
8,2,PUKA NACUA,LAR,11.4
9,2,DEEBO SAMUEL,SF,12.2
10,3,MIKE EVANS,TB,12.0
11,3,MARVIN HARRISON,ARI,0
12,3,BRANDON AIYUK,SF,10.9
13,3,CHRIS OLAVE,NO,9.0
14,3,NICO COLLINS,HOU,12.0
15,3,DRAKE LONDON,ATL,6.6
16,3,DAVANTE ADAMS,LV,9.6
17,3,DK METCALF,SEA,10.0
18,3,DJ MOORE,CHI,11.2
19,3,JAYLEN WADDLE,MIA,9.0
20,4,AMARI COOPER,CLE,10.3
21,4,DEVONTA SMITH,PHI,9.2
22,4,COOPER KUPP,LAR,8.8
23,4,GEORGE PICKENS,PIT,8.6
24,4,TEE HIGGINS,CIN,8.0
25,4,MALIK NABERS,NYG,0
26,4,MICHAEL PITTMAN,IND,8.8
27,4,NATHANIEL DELL,HOU,10.7
28,4,STEFON DIGGS,HOU,9.8
29,4,ZAY FLOWERS,BAL,8.1
30,5,CHRISTIAN KIRK,JAC,7.8
31,5,TERRY MCLAURIN,WAS,7.3
32,5,CALVIN RIDLEY,TEN,9.1
33,5,JAYDEN REED,GB,9.6
34,5,KEENAN ALLEN,CHI,13.1
35,5,DIONTAE JOHNSON,CAR,7.8
36,5,CHRIS GODWIN,TB,7.4
37,5,RASHEE RICE,KC,8.3
38,5,MARQUISE BROWN,KC,6.0
39,5,CHRISTIAN WATSON,GB,8.1
40,5,DEANDRE HOPKINS,TEN,8.7
41,5,XAVIER WORTHY,KC,0
42,5,JORDAN ADDISON,MIN,8.9
43,6,COURTLAND SUTTON,DEN,8.2
44,6,ROME ODUNZE,CHI,0
45,6,LADD MCCONKEY,LAC,0
46,6,JAMESON WILLIAMS,DET,4.7
47,6,JAXON SMITH-NJIGBA,SEA,5.1
48,6,BRIAN THOMAS,JAC,0
49,6,TYLER LOCKETT,SEA,7.3
50,6,KEON COLEMAN,BUF,0
51,6,RASHID SHAHEED,NO,6.8
52,6,JAKOBI MEYERS,LV,9.2
53,6,CURTIS SAMUEL,BUF,6.0
54,6,MIKE WILLIAMS,NYJ,10.4
55,6,BRANDIN COOKS,DAL,7.5
56,6,JOSH PALMER,LAC,6.2
57,6,ROMEO DOUBS,GB,6.8
58,6,GABRIEL DAVIS,JAC,6.8
59,6,KHALIL SHAKIR,BUF,4.4
60,6,JERRY JEUDY,CLE,5.5
61,6,JOSH DOWNS,IND,5.2
62,7,JAHAN DOTSON,WAS,4.5
63,7,DONTAYVION WICKS,GB,5.4
64,7,ADONAI MITCHELL,IND,0
65,7,MICHAEL WILSON,ARI,5.9
66,7,ADAM THIELEN,CAR,7.5
67,7,DEMARIO DOUGLAS,NE,4.2
68,7,JALYNN POLK,NE,0
69,7,DARNELL MOONEY,ATL,3.2
70,7,RASHOD BATEMAN,BAL,2.8
71,7,MARVIN MIMS,DEN,3.0
72,7,XAVIER LEGETTE,CAR,0
73,7,JERMAINE BURTON,CIN,0
74,7,QUENTIN JOHNSTON,LAC,3.3
75,7,WANDALE ROBINSON,NYG,4.9
76,7,TROY FRANKLIN,DEN,0
77,7,DEMARCUS ROBINSON,LAR,4.7
78,7,RICKY PEARSALL,SF,0
79,7,JAVON BAKER,NE,0
80,7,ROMAN WILSON,PIT,0
81,8,ELIJAH MOORE,CLE,4.3
82,8,DARIUS SLAYTON,NYG,5.9
83,8,JALIN HYATT,NYG,2.2
84,8,MALACHI CORLEY,NYJ,0
85,8,TYLER BOYD,TEN,4.6
86,8,DJ CHARK,LAC,5.4
87,8,KENDRICK BOURNE,NE,7.9
88,8,RONDALE MOORE,ATL,3.8
89,8,AT PERRY,NO,4.9
90,8,ODELL BECKHAM,MIA,5.2
91,8,ZAY JONES,ARI,4.9
92,8,TREYLON BURKS,TEN,2.2
93,8,JALEN MCMILLAN,TB,0
94,8,JONATHAN MINGO,CAR,2.8
95,8,DEVONTEZ WALKER,BAL,0
96,8,TREY PALMER,TB,3.3
97,8,ANDREI IOSIVAS,CIN,2.2
98,8,JOSH REYNOLDS,DEN,5.2
99,8,ALEC PIERCE,IND,3.7
100,8,CEDRIC TILLMAN,CLE,1.7
101,8,KJ OSBORN,NE,4.5
102,8,KADARIUS TONEY,KC,2.0
103,8,NOAH BROWN,HOU,6.9
104,8,LUKE MCCAFFREY,WAS,0
105,9,BRENDEN RICE,LAC,0
106,9,TYLER SCOTT,CHI,1.1
107,9,JACOB COWING,SF,0
108,9,ROBERT WOODS,HOU,3.5
109,9,GREG DORTCH,ARI,2.5
110,9,MICHAEL THOMAS,FA,5.1
111,9,JALEN TOLBERT,DAL,2.2
112,9,CHATARIUS ATWELL,LAR,4.6
113,9,MARQUEZ VALDES-SCANTLING,BUF,2.2
114,9,MALIK WASHINGTON,MIA,0
115,9,TRE TUCKER,LV,3.3
116,9,NELSON AGHOLOR,BAL,3.7
117,9,KALIF RAYMOND,DET,3.7
118,9,BO MELTON,GB,7.5
119,9,JUJU SMITH-SCHUSTER,NE,2.9
120,9,ALLEN LAZARD,NYJ,2.6
121,9,VAN JEFFERSON,PIT,1.3
122,9,DONOVAN PEOPLES-JONES,DET,1.0
123,9,JAUAN JENNINGS,SF,2.5
124,9,CALVIN AUSTIN,PIT,2.1
125,9,SKYY MOORE,KC,2.3
126,10,JOHN METCHIE,HOU,1.0
127,10,XAVIER GIPSON,NYJ,2.2
128,10,PARRIS CAMPBELL,PHI,0.9
129,10,TIM PATRICK,DEN,0
130,10,HUNTER RENFROW,FA,1.4
131,10,PARKER WASHINGTON,JAC,2.6
132,10,JUSTIN WATSON,KC,3.9
133,10,JOHNNY WILSON,PHI,0
134,10,AINIAS SMITH,PHI,0
135,10,CEDRICK WILSON,NO,3.2
136,10,BRANDON POWELL,MIN,2.2
137,10,MACK HOLLINS,BUF,1.9
138,10,CHASE CLAYPOOL,BUF,1.2
139,10,NICK WESTBROOK,TEN,4.1
140,10,QUEZ WATKINS,PIT,2.2
141,10,JAMARI THRASH,CLE,0
142,10,TRENTON IRWIN,CIN,2.4
143,10,CHARLIE JONES,CIN,1.2
144,10,BRAXTON BERRIOS,MIA,1.9
145,10,CHRIS MOORE,ARI,2.7
146,10,XAVIER HUTCHINSON,HOU,0.9
147,10,JAKE BOBO,SEA,2.2
148,10,MECOLE HARDMAN,KC,1.1
149,10,ISAIAH MCKENZIE,NYG,0.4
150,10,DAVID BELL,CLE,2.3
151,10,JAMISON CROWDER,WAS,1.2
152,10,KAVONTAE TURPIN,DAL,3.0
153,10,TRENT SHERFIELD,MIN,0.9
154,10,ISAIAH HODGINS,NYG,2.3
155,10,JERROD MEANS,NO,0
156,10,RYAN FLOURNOY,DAL,0
157,10,TYQUAN THORNTON,NE,1.6
158,10,TERRACE MARSHALL,CAR,1.5
159,10,DYAMI BROWN,WAS,1.4
160,11,DERIUS DAVIS,LAC,1.2
161,11,MICHAEL GALLUP,FA,3.2
162,11,JUSTYN ROSS,KC,0.5
163,11,RAY RAY MCCLOUD,ATL,1.4
164,11,DEVIN DUVERNAY,JAC,0.3
165,11,CASEY WASHINGTON,ATL,0
166,11,KYLE PHILIPS,TEN,1.8
167,11,OLAMIDE ZACCHEAUS,WAS,1.7
168,11,JALEN NAILOR,MIN,0.5
169,11,CORNELIUS JOHNSON,LAC,0
170,11,LAVISKA SHENAULT,SEA,1.4
171,11,TAHJ WASHINGTON,MIA,0
172,11,JALEN BROOKS,DAL,0.9
173,11,JORDAN WHITTINGTON,LAR,0
174,11,ALLEN ROBINSON,NYG,1.6
175,11,JALEN GUYTON,LV,1.9
176,11,JHAQUAN JACKSON,TEN,0
177,11,DEONTE HARTY,BAL,1.6
178,11,ANTHONY GOULD,IND,0
179,11,JASON BROWNLEE,NYJ,1.7
180,11,LILJORDAN HUMPHREY,DEN,2.0
181,11,MALIK HEATH,GB,1.4
182,11,SCOTT MILLER,PIT,1.7
183,11,RONNIE BELL,SF,1.6
184,11,KHADAREL HODGE,ATL,1.4
185,11,MARCUS ROSEMY-JACKSAINT,WAS,0
186,11,ISAIAH WILLIAMS,FA,0
187,11,BRANDON JOHNSON,DEN,4.2
188,11,DENZEL MIMS,JAC,0
189,11,IHMIR SMITH-MARSETTE,CAR,1.4
190,11,ZACH PASCAL,ARI,0.1
191,11,JALEN REAGOR,NE,2.0
192,11,JOSH CROCKETT,FA,0
193,11,RICHIE JAMES,FA,1.0
194,12,EQUANIMEOUS ST BROWN,NO,0.9
195,12,ANTOINE GREEN,DET,0.0
196,12,RAKIM JARRETT,TB,0.6
197,12,RIVER CRACRAFT,MIA,1.8
198,12,MASON TIPTON,NO,0
199,12,STERLING SHEPARD,TB,0.7
200,12,AUSTIN MACK,ATL,0
201,12,DEVEN THOMPKINS,CAR,1.1
202,12,SAMORI TOURE,GB,0.7
203,12,VELUS JONES,CHI,0.5
204,12,KAYSHON BOUTTE,NE,0.4
205,12,DEVAUGHN VELE,DEN,0
206,12,DANTE PETTIS,CHI,0
207,12,DAVID MOORE,CAR,2.2
208,12,JALEN COKER,CAR,0
209,12,TREQUAN SMITH,DET,0.0
210,12,JAMAL AGNEW,FA,2.4
211,12,EMEKA EMEZIE,FA,0
212,12,ERIK EZUKANMA,MIA,1.1
213,12,BEN SKOWRONEK,HOU,0.8
214,12,JULIO JONES,FA,2.3
215,12,MARVIN JONES,FA,0.3
216,12,BRITAIN COVEY,PHI,0.3
217,12,ROBBIE CHOSEN,FA,2.1
218,12,BYRON PRINGLE,WAS,0.9
219,12,DEANDRE CARTER,CHI,0.3
220,12,LYNN BOWDEN,FA,0.8
221,12,ISAIAH WILLIAMS,DET,0
222,12,RANDALL COBB,FA,1.1
223,12,DJ MONTGOMERY,IND,1.7
224,12,MARQUEZ CALLAWAY,NO,0.0
225,12,ELIJAH COOKS,JAC,0.4
226,12,MIKE STRACHAN,CAR,1.1
227,13,ALEX ERICKSON,FA,3.6
228,13,TIM JONES,JAC,0.5
229,13,TRISHTON JACKSON,MIN,0.5
230,13,MARQUISE GOODWIN,FA,0.8
231,13,COLLIN JOHNSON,CHI,0.4
232,13,COLTON DOWELL,TEN,0.0
233,13,AUSTIN TRAMMELL,JAC,0.1
234,13,DELEON ESKRIDGE,SEA,0.1
235,13,PHILLIP DORSETT,DEN,0.0
236,13,MILES BOYKIN,NYG,0.1
237,13,MALIK TAYLOR,NYJ,0.4
238,13,CODY THOMPSON,TB,0.2
239,13,JUWANN WINFREE,IND,0.0
240,13,TRENT TAYLOR,SF,-0.1
