POS_RK,POS_TIERS,PLAYER NAME,TEAM,FAN PTS
1,1,CHRISTIAN MCCAFFREY,SF,324.3
2,1,BIJAN ROBINSON,ATL,188.3
3,1,BREECE HALL,NYJ,214.5
4,2,JONATHAN TAYLOR,IND,137.4
5,2,DERRICK HENRY,BAL,218.7
6,2,SAQUON BARKLEY,PHI,182.2
7,2,JAHMYR GIBBS,DET,190.1
8,2,KYREN WILLIAMS,LAR,223
9,3,TRAVIS ETIENNE,JAC,224.4
10,3,ISIAH PACHECO,KC,169.9
11,3,DEVON ACHANE,MIA,163.7
12,3,KENNETH WALKER,SEA,170.4
13,3,JOSH JACOBS,GB,144.1
14,3,JOE MIXON,HOU,215
15,3,JAMES COOK,BUF,188.7
16,3,RACHAAD WHITE,TB,203.9
17,4,DAVID MONTGOMERY,DET,191.2
18,4,JAMES CONNER,ARI,174.5
19,4,ALVIN KAMARA,NO,158
20,4,RHAMONDRE STEVENSON,NE,107.7
21,4,AARON JONES,MIN,104.9
22,4,NAJEE HARRIS,PIT,166.5
23,4,ZAMIR WHITE,LV,58.9
24,4,RAHEEM MOSTERT,MIA,242.7
25,4,DANDRE SWIFT,CHI,160.3
26,5,BRIAN ROBINSON,WAS,162.1
27,5,TONY POLLARD,TEN,167.6
28,5,JAVONTE WILLIAMS,DEN,132.2
29,5,DEVIN SINGLETARY,NYG,137.3
30,5,JAYLEN WARREN,PIT,135.4
31,5,ZACK MOSS,CIN,142.6
32,5,GUS EDWARDS,LAC,175
33,5,JONATHON BROOKS,CAR,0
34,5,TYJAE SPEARS,TEN,101.8
35,5,NICK CHUBB,CLE,19.1
36,5,CHASE BROWN,CIN,39.5
37,6,EZEKIEL ELLIOTT,DAL,123.5
38,6,AUSTIN EKELER,WAS,134.4
39,6,JEROME FORD,CLE,167.2
40,6,BLAKE CORUM,LAR,0
41,6,TREY BENSON,ARI,0
42,6,CHUBA HUBBARD,CAR,143.5
43,6,RICO DOWDLE,DAL,74.5
44,6,ZACH CHARBONNET,SEA,73.1
45,6,TY CHANDLER,MIN,80
46,6,TYLER ALLGEIER,ATL,119.6
47,6,JK DOBBINS,LAC,9.7
48,6,JALEEL MCLAUGHLIN,DEN,75
49,6,ANTONIO GIBSON,NE,79.4
50,6,KHALIL HERBERT,CHI,92.5
51,6,MARSHAWN LLOYD,GB,0
52,6,KENDRE MILLER,NO,33.3
53,7,KINGSTON DAVIS,BUF,0
54,7,ROSCHON JOHNSON,CHI,68.1
55,7,JAYLEN WRIGHT,MIA,0
56,7,ELIJAH MITCHELL,SF,41.5
57,7,BRAELON ALLEN,NYJ,0
58,7,DAMEON PIERCE,HOU,69.7
59,7,MARKEISE IRVING,TB,0
60,7,AUDRIC ESTIME,DEN,0
61,7,DONTA FOREMAN,CLE,80.2
62,7,ALEXANDER MATTISON,LV,103.2
63,7,AJ DILLON,GB,95.6
64,7,KEATON MITCHELL,BAL,60.9
65,7,CLYDE EDWARDS-HELAIRE,KC,53.1
66,7,CARTAVIOUS BIGSBY,JAC,21.8
67,7,MILES SANDERS,CAR,60.6
68,7,KENNY GAINWELL,PHI,67.4
69,7,JUSTICE HILL,BAL,81.3
70,7,JAMAAL WILLIAMS,NO,42.8
71,7,WILL SHIPLEY,PHI,0
72,7,KIMANI VIDAL,LAC,0
73,7,TYRONE TRACY,NYG,0
74,8,JORDAN MASON,SF,41.7
75,8,DYLAN LAUBE,LV,0
76,8,TREY SERMON,IND,17.3
77,8,SAMAJE PERINE,DEN,71.3
78,8,ERIC GRAY,NYG,7
79,8,EVAN HULL,IND,0.7
80,8,DERNEST JOHNSON,JAC,24.8
81,8,PIERRE STRONG,CLE,37.8
82,8,CHRISTOPHER RODRIGUEZ,WAS,35.9
83,8,DEUCE VAUGHN,DAL,8
84,8,CORDARRELLE PATTERSON,PIT,27.9
85,8,MICHAEL CARTER,ARI,34.8
86,8,ISAAC GUERENDO,SF,0
87,8,JEFFERY WILSON,MIA,27.3
88,8,CHASE EDMONDS,TB,25.7
89,8,EMARI DEMERCADO,ARI,52.3
90,8,ISRAEL ABANIKANDA,NYJ,9.3
91,8,ISAIAH SPILLER,LAC,13
92,8,RONNIE RIVERS,LAR,15.1
93,8,CAM AKERS,HOU,35.7
94,9,DENERIC PRINCE,KC,0
95,9,ROYCE FREEMAN,DAL,45.2
