POS_RK,POS_TIERS,PLAYER NAME,TEAM,FAN PTS
1,1,CHRISTIAN MCCAFFREY,SF,324.3
2,1,BIJAN ROBINSON,ATL,188.3
3,1,BREECE HALL,NYJ,214.5
4,2,JONATHAN TAYLOR,IND,137.4
5,2,JAHMYR GIBBS,DET,190.1
6,2,SAQUON BARKLEY,PHI,182.2
7,2,DERRICK HENRY,BAL,218.7
8,2,KYREN WILLIAMS,LAR,223
9,2,TRAVIS ETIENNE,JAC,224.4
10,3,ISIAH PACHECO,KC,169.9
11,3,DEVON ACHANE,MIA,163.7
12,3,JOSH JACOBS,GB,144.1
13,3,JOE MIXON,HOU,215
14,3,KENNETH WALKER,SEA,170.4
15,3,RACHAAD WHITE,TB,203.9
16,3,JAMES COOK,BUF,188.7
17,4,DAVID MONTGOMERY,DET,191.2
18,4,JAMES CONNER,ARI,174.5
19,4,ALVIN KAMARA,NO,158
20,4,AARON JONES,MIN,104.9
21,4,NAJEE HARRIS,PIT,166.5
22,4,ZAMIR WHITE,LV,58.9
23,4,RHAMONDRE STEVENSON,NE,107.7
24,4,RAHEEM MOSTERT,MIA,242.7
25,4,DANDRE SWIFT,CHI,160.3
26,5,TONY POLLARD,TEN,167.6
27,5,BRIAN ROBINSON,WAS,162.1
28,5,ZACK MOSS,CIN,142.6
29,5,JAVONTE WILLIAMS,DEN,132.2
30,5,GUS EDWARDS,LAC,175
31,5,DEVIN SINGLETARY,NYG,137.3
32,5,NICK CHUBB,CLE,19.1
33,5,JONATHON BROOKS,CAR,0
34,5,JAYLEN WARREN,PIT,135.4
35,5,AUSTIN EKELER,WAS,134.4
36,5,TYJAE SPEARS,TEN,101.8
37,5,EZEKIEL ELLIOTT,DAL,123.5
38,6,JEROME FORD,CLE,167.2
39,6,TREY BENSON,ARI,0
40,6,ZACH CHARBONNET,SEA,73.1
41,6,CHASE BROWN,CIN,39.5
42,6,BLAKE CORUM,LAR,0
43,6,CHUBA HUBBARD,CAR,143.5
44,6,ANTONIO GIBSON,NE,79.4
45,6,TYLER ALLGEIER,ATL,119.6
46,6,KENDRE MILLER,NO,33.3
47,6,TY CHANDLER,MIN,80
48,6,RICO DOWDLE,DAL,74.5
49,6,KHALIL HERBERT,CHI,92.5
50,7,JALEEL MCLAUGHLIN,DEN,75
51,7,MARSHAWN LLOYD,GB,0
52,7,JK DOBBINS,LAC,9.7
53,7,ROSCHON JOHNSON,CHI,68.1
54,7,ELIJAH MITCHELL,SF,41.5
55,7,KINGSTON DAVIS,BUF,0
56,7,DAMEON PIERCE,HOU,69.7
57,7,JAYLEN WRIGHT,MIA,0
58,7,ALEXANDER MATTISON,LV,103.2
59,7,MARKEISE IRVING,TB,0
60,7,KEATON MITCHELL,BAL,60.9
61,7,DONTA FOREMAN,CLE,80.2
62,7,AJ DILLON,GB,95.6
63,7,KENNY GAINWELL,PHI,67.4
64,7,MILES SANDERS,CAR,60.6
65,7,CLYDE EDWARDS-HELAIRE,KC,53.1
66,7,AUDRIC ESTIME,DEN,0
67,7,CARTAVIOUS BIGSBY,JAC,21.8
68,7,BRAELON ALLEN,NYJ,0
69,7,KIMANI VIDAL,LAC,0
70,7,JAMAAL WILLIAMS,NO,42.8
71,8,JUSTICE HILL,BAL,81.3
72,8,TYRONE TRACY,NYG,0
73,8,WILL SHIPLEY,PHI,0
74,8,SAMAJE PERINE,DEN,71.3
75,8,DEUCE VAUGHN,DAL,8
76,8,EVAN HULL,IND,0.7
77,8,JEFFERY WILSON,MIA,27.3
78,8,TREY SERMON,IND,17.3
79,8,CHRISTOPHER RODRIGUEZ,WAS,35.9
80,8,MICHAEL CARTER,ARI,34.8
81,8,ISRAEL ABANIKANDA,NYJ,9.3
82,8,ISAAC GUERENDO,SF,0
83,8,DERNEST JOHNSON,JAC,24.8
84,8,JORDAN MASON,SF,41.7
85,8,CHASE EDMONDS,TB,25.7
86,8,DYLAN LAUBE,LV,0
87,8,CORDARRELLE PATTERSON,PIT,27.9
88,8,PIERRE STRONG,CLE,37.8
89,8,ERIC GRAY,NYG,7
90,9,ISAIAH SPILLER,LAC,13
91,9,KAREEM HUNT,FA,103.5
92,9,EMARI DEMERCADO,ARI,52.3
93,9,JERICK MCKINNON,FA,59.4
94,9,RONNIE RIVERS,LAR,15.1
95,9,CAM AKERS,MIN,35.7
