RK,TIERS,PLAYER NAME,TEAM,AVG_FAN PTS
1,1,CHRISTIAN MCCAFFREY,SF,20.3
2,1,CEEDEE LAMB,DAL,15.8
3,1,TYREEK HILL,MIA,16.1
4,1,JAMARR CHASE,CIN,10.2
5,1,JUSTIN JEFFERSON,MIN,13.4
6,2,AMON-RA ST BROWN,DET,13.2
7,2,BIJAN ROBINSON,ATL,11.1
8,2,BREECE HALL,NYJ,12.6
9,2,AJ BROWN,PHI,10.8
10,2,PUKA NACUA,LAR,11.4
11,2,JONATHAN TAYLOR,IND,13.7
12,2,GARRETT WILSON,NYJ,7.0
13,3,JAHMYR GIBBS,DET,12.7
14,3,SAQUON BARKLEY,PHI,13.0
15,3,DERRICK HENRY,BAL,12.9
16,3,DEEBO SAMUEL,SF,12.2
17,3,KYREN WILLIAMS,LAR,18.6
18,3,JOSH ALLEN,BUF,24.2
19,3,BRANDON AIYUK,SF,10.9
20,3,MIKE EVANS,TB,12.0
21,4,MARVIN HARRISON,ARI,0
22,4,CHRIS OLAVE,NO,9.0
23,4,TRAVIS ETIENNE,JAC,13.2
24,4,JALEN HURTS,PHI,21.9
25,4,DAVANTE ADAMS,LV,9.6
26,4,NICO COLLINS,HOU,12.0
27,4,DK METCALF,SEA,10.0
28,4,DJ MOORE,CHI,11.2
29,4,DRAKE LONDON,ATL,6.6
30,4,SAM LAPORTA,DET,9.0
31,4,PATRICK MAHOMES,KC,18.4
32,4,LAMAR JACKSON,BAL,21.1
33,4,TRAVIS KELCE,KC,8.4
34,4,JAYLEN WADDLE,MIA,9.0
35,4,ISIAH PACHECO,KC,12.1
36,5,DEVON ACHANE,MIA,14.9
37,5,AMARI COOPER,CLE,10.3
38,5,JOSH JACOBS,GB,11.1
39,5,DEVONTA SMITH,PHI,9.2
40,5,COOPER KUPP,LAR,8.8
41,5,KENNETH WALKER,SEA,11.4
42,5,TEE HIGGINS,CIN,8.0
43,5,JOE MIXON,HOU,12.6
44,5,JAMES COOK,BUF,11.1
45,5,RACHAAD WHITE,TB,12.0
46,5,GEORGE PICKENS,PIT,8.6
47,5,MICHAEL PITTMAN,IND,8.8
48,5,MARK ANDREWS,BAL,9.0
49,5,ANTHONY RICHARDSON,IND,18.4
50,5,NATHANIEL DELL,HOU,10.7
51,6,CJ STROUD,HOU,18.7
52,6,STEFON DIGGS,HOU,9.8
53,6,MALIK NABERS,NYG,0
54,6,DAVID MONTGOMERY,DET,13.7
55,6,ZAY FLOWERS,BAL,8.1
56,6,JOE BURROW,CIN,15.3
57,6,DAK PRESCOTT,DAL,20.7
58,6,KYLER MURRAY,ARI,18.9
59,6,TREY MCBRIDE,ARI,5.9
60,6,JAMES CONNER,ARI,13.4
61,6,CHRISTIAN KIRK,JAC,7.8
62,6,JAYDEN REED,GB,9.6
63,6,AARON JONES,MIN,9.5
