POS_RK,POS_TIERS,PLAYER NAME,TEAM,FAN PTS
1,1,SAM LAPORTA,DET,153.3
2,1,TRAVIS KELCE,KC,126.4
3,1,MARK ANDREWS,BAL,90.4
4,2,TREY MCBRIDE,ARI,100.5
5,2,GEORGE KITTLE,SF,138.2
6,2,KYLE PITTS,ATL,84.3
7,2,DALTON KINCAID,BUF,77.3
8,2,JAKE FERGUSON,DAL,106.1
9,2,DAVID NJOKU,CLE,120.2
10,3,EVAN ENGRAM,JAC,116.3
11,3,BROCK BOWERS,LV,0
12,3,DALLAS GOEDERT,PHI,77.3
13,3,PAT FREIERMUTH,PIT,44.8
14,3,DALTON SCHULTZ,HOU,91.5
15,4,TAYSOM HILL,NO,110.5
16,4,TJ HOCKENSON,MIN,124
17,4,COLE KMET,CHI,108.1
18,4,HUNTER HENRY,NE,77.9
19,4,LUKE MUSGRAVE,GB,41.2
20,4,TYLER CONKLIN,NYJ,62.1
21,4,CADE OTTON,TB,69.5
22,4,ISAIAH LIKELY,BAL,71.1
23,4,JUWAN JOHNSON,NO,60.8
24,4,NOAH FANT,SEA,41.4
25,4,CHIGOZIEM OKONKWO,TEN,59.4
26,4,BEN SINNOTT,WAS,0
27,4,TUCKER KRAFT,GB,47.5
28,4,MIKE GESICKI,CIN,36.4
29,4,MICHAEL MAYER,LV,44.4
30,5,DAWSON KNOX,BUF,32.6
31,5,JATAVION SANDERS,CAR,0
32,5,JELANI WOODS,IND,0
33,5,GERALD EVERETT,CHI,60.1
34,5,JONNU SMITH,MIA,74.2
35,5,ZACH ERTZ,WAS,24.7
36,5,TYLER HIGBEE,LAR,61.5
37,5,GREG DULCICH,DEN,2.5
38,5,COLBY PARKINSON,LAR,36.7
39,5,THEO JOHNSON,NYG,0
40,6,DANIEL BELLINGER,NYG,25.5
41,6,HAYDEN HURST,LAC,24.4
42,6,DONALD PARHAM,LAC,52.5
43,6,NOAH GRAY,KC,42.6
44,6,KYLEN GRANSON,IND,43
45,6,WILL DISSLY,LAC,23.2
46,6,ERICK ALL,CIN,0
47,7,TANNER HUDSON,CIN,41.2
48,7,CADE STOVER,HOU,0
49,7,JEREMY RUCKERT,NYJ,15.1
50,7,LOGAN THOMAS,FA,71.8
51,7,TOMMY TREMBLE,CAR,37.4
52,7,BREVIN JORDAN,HOU,33.9
53,7,DAVIS ALLEN,LAR,15.5
54,7,JOSH OLIVER,MIN,31.3
55,7,AUSTIN HOOPER,NE,23.4
56,7,JOHN MUNDT,MIN,23.2
57,7,LUKE SCHOONMAKER,DAL,18.5
58,7,JAHEIM BELL,NE,0
59,7,JOSH WHYLE,TEN,15.4
60,7,DARNELL WASHINGTON,PIT,6.1
61,7,ADAM TRAUTMAN,DEN,38.4
62,7,FOSTER MOREAU,NO,25.3
63,7,JARED WILEY,KC,0
64,7,COLE TURNER,WAS,12
65,7,LUCAS KRULL,DEN,15.5
66,7,DURHAM SMYTHE,MIA,36.6
67,7,WILL MALLORY,IND,20.7
68,7,IRV SMITH,KC,15.5
