POS_RK,POS_TIERS,PLAYER NAME,TEAM,FAN PTS,0-19,20-29,30-39,40-49,50+,XPM,XPA
1,1,JUSTIN TUCKER,BAL,160,0,10,10,11,1,51,52
2,1,BRANDON AUBREY,DAL,181,0,9,13,4,10,49,52
3,1,HARRISON BUTKER,KC,154,0,8,13,7,5,38,38
4,2,JASON SANDERS,MIA,146,0,6,7,6,5,58,59
5,2,KAIMI FAIRBAIRN,HOU,114,0,10,10,2,5,21,22
6,2,JAKE MOODY,SF,131,0,7,8,4,2,60,61
7,2,TYLER BASS,BUF,133,0,4,12,4,4,49,50
8,2,JAKE ELLIOTT,PHI,156,0,9,7,7,7,45,46
9,2,YOUNGHOE KOO,ATL,138,0,10,10,9,3,27,28
10,2,EVAN MCPHERSON,CIN,140,0,5,6,8,7,40,40
11,3,CAMERON DICKER,LAC,151,0,7,8,9,7,35,35
12,3,MATT GAY,IND,157,0,9,9,7,8,35,36
13,3,DUSTIN HOPKINS,CLE,149,0,8,7,10,8,24,26
14,3,CAIRO SANTOS,CHI,158,0,9,11,8,7,31,33
15,3,JASON MYERS,SEA,158,0,8,11,12,4,33,33
16,4,DANIEL CARLSON,LV,121,0,10,6,9,1,32,32
17,4,GREG ZUERLEIN,NYJ,143,0,8,9,13,5,15,16
18,4,BLAKE GRUPE,NO,150,0,10,6,8,6,40,40
19,4,MICHAEL BADGLEY,DET,26,0,0,3,1,0,13,15
20,4,WIL LUTZ,DEN,129,0,11,12,4,3,29,31
21,4,CHRIS BOSWELL,PIT,133,0,9,7,7,6,27,28
22,4,CHASE MCLAUGHLIN,TB,136,0,8,12,2,7,33,33
23,4,EDDY PINEIRO,CAR,109,0,6,7,7,5,17,20
24,4,MATT PRATER,ARI,130,0,6,7,6,9,22,23
25,5,GREG JOSEPH,GB,119,1,7,9,3,4,36,38
26,5,GRAHAM GANO,NYG,50,0,2,3,3,3,8,8
27,5,ANDERS CARLSON,GB,125,0,6,14,4,3,34,39
28,5,BRANDON MCMANUS,FA,146,0,4,10,11,5,35,35
29,5,NICK FOLK,TEN,131,0,9,9,6,5,28,30
30,5,JOSHUA KARTY,LAR,0,0,0,0,0,0,0,0
31,5,WILL REICHARD,MIN,0,0,0,0,0,0,0,0
32,5,CAM LITTLE,JAC,0,0,0,0,0,0,0,0
33,6,JOEY SLYE,NE,102,0,2,7,7,3,32,35
34,6,RILEY PATTERSON,JAC,93,0,2,11,2,1,41,44
35,6,RAMIZ AHMED,WAS,0,0,0,0,0,0,0,0
36,6,JAKE BATES,DET,0,0,0,0,0,0,0,0
37,6,AUSTIN SEIBERT,NYJ,4,0,0,1,0,0,1,1
38,6,CHAD RYLAND,NE,81,0,4,5,5,2,24,25
39,6,BRETT MAHER,FA,77,0,3,4,7,3,13,15
40,6,CADE YORK,CLE,0,0,0,0,0,0,0,0
41,7,RANDY BULLOCK,FA,29,0,0,2,2,1,10,10
